"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.311758499E2,6.031298167E1,2.503408167E1,2.870099110E1,1.388720512E0,2.925199890E2,1.500000000E0,3.400000095E0
1.321751169E2,6.031298500E1,2.503405667E1,2.860093517E1,1.396441340E0,2.942099915E2,1.399999976E0,3.400000095E0
1.331757271E2,6.031298833E1,2.503403167E1,2.840087923E1,1.389750004E0,2.942500000E2,1.399999976E0,3.400000095E0
1.341770727E2,6.031299333E1,2.503400667E1,2.820082156E1,1.380485058E0,2.933200073E2,1.500000000E0,3.500000000E0
1.351692209E2,6.031299833E1,2.503398000E1,2.800076039E1,1.371734738E0,2.917900085E2,1.500000000E0,3.500000000E0
1.361726370E2,6.031300167E1,2.503395500E1,2.770070445E1,1.365558028E0,2.915199890E2,1.399999976E0,3.400000095E0
1.371779182E2,6.031300833E1,2.503393000E1,2.750064503E1,1.358866692E0,2.948699951E2,1.399999976E0,3.400000095E0
1.381724695E2,6.031301500E1,2.503390000E1,2.730057512E1,1.356807828E0,2.949700012E2,1.500000000E0,3.400000095E0
1.391775262E2,6.031301833E1,2.503387667E1,2.700052269E1,1.357322454E0,2.947099915E2,1.500000000E0,3.400000095E0
1.401740069E2,6.031302167E1,2.503385000E1,2.660046326E1,1.359896064E0,2.945799866E2,1.600000024E0,3.400000095E0
1.411637077E2,6.031302500E1,2.503382667E1,2.640041082E1,1.371734738E0,2.946400146E2,1.500000000E0,3.400000095E0
1.421642838E2,6.031302667E1,2.503380667E1,2.680036712E1,1.376367211E0,2.937000122E2,1.600000024E0,3.400000095E0
1.431733619E2,6.031303167E1,2.503378333E1,2.690031294E1,1.401073933E0,2.928399963E2,1.600000024E0,3.400000095E0
1.441748022E2,6.031303167E1,2.503375667E1,2.710025699E1,1.414971352E0,2.933699951E2,1.600000024E0,3.400000095E0
1.451753222E2,6.031303833E1,2.503372500E1,2.700018359E1,1.434530854E0,2.936300049E2,1.600000024E0,3.500000000E0
1.461752970E2,6.031304167E1,2.503370000E1,2.690012765E1,1.452031374E0,2.925199890E2,1.600000024E0,3.400000095E0
1.471740570E2,6.031304667E1,2.503367167E1,2.700006298E1,1.457693338E0,2.919200134E2,1.600000024E0,3.400000095E0
1.481685696E2,6.031305167E1,2.503364333E1,2.699999831E1,1.457178593E0,2.931799927E2,1.500000000E0,3.400000095E0
1.491730072E2,6.031305667E1,2.503361333E1,2.679993014E1,1.465928912E0,2.936600037E2,1.500000000E0,3.500000000E0
1.501721149E2,6.031306000E1,2.503359000E1,2.639987771E1,1.481885314E0,2.939400024E2,1.500000000E0,3.500000000E0
1.511667022E2,6.031306500E1,2.503356167E1,2.659981303E1,1.481885314E0,2.939500122E2,1.500000000E0,3.400000095E0
