"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.024153947E0,5.186449885E-1,-3.311209977E-1,7.867190242E-1
1.029085040E0,5.587469935E-1,-4.578619897E-1,7.441920042E-1
1.034016191E0,4.934099913E-1,-6.340929866E-1,6.850540042E-1
1.038947499E0,5.412819982E-1,-8.419719934E-1,6.212599874E-1
1.043878578E0,6.678640246E-1,-9.594540000E-1,3.663139939E-1
1.048809730E0,7.684699893E-1,-9.952110052E-1,1.690330058E-1
1.053740809E0,8.266639709E-1,-1.008371949E0,-4.715999961E-2
1.058672120E0,8.457260132E-1,-1.000797033E0,-2.415190041E-1
1.063603199E0,8.827499747E-1,-9.994459748E-1,-3.906030059E-1
1.068534350E0,8.889790177E-1,-1.000579953E0,-4.867449999E-1
1.073465434E0,8.292989731E-1,-9.826110005E-1,-3.742859960E-1
1.078396740E0,7.747169733E-1,-9.458839893E-1,-3.167099878E-2
1.083327819E0,6.785299778E-1,-8.692290187E-1,1.867450029E-1
1.088258952E0,4.812389910E-1,-7.366830111E-1,3.575490117E-1
1.093190260E0,3.022310138E-1,-5.513899922E-1,5.453460217E-1
1.098121338E0,1.628530025E-1,-3.638989925E-1,6.998320222E-1
1.103052490E0,6.055099890E-2,-2.055969983E-1,8.377500176E-1
1.107983569E0,1.435600035E-2,-1.951700076E-2,9.782080054E-1
1.112914875E0,-1.868000068E-2,2.076119930E-1,1.075603008E0
1.117846016E0,-7.590799779E-2,3.728969991E-1,1.031772971E0
1.122777321E0,-1.420039982E-1,4.170019925E-1,9.401550293E-1
1.127708400E0,-1.902070045E-1,4.710879922E-1,8.557779789E-1
1.132639477E0,-1.919929981E-1,5.059589744E-1,7.761989832E-1
1.137570629E0,-1.577039957E-1,4.786199927E-1,6.894419789E-1
1.142501962E0,-6.216000021E-2,5.171070099E-1,6.575719714E-1
1.147433041E0,-8.690200001E-2,5.282509923E-1,7.189350128E-1
1.152364118E0,-1.156829968E-1,5.592629910E-1,8.470510244E-1
1.157295251E0,-2.399069965E-1,5.234839916E-1,1.056206942E0
1.162226330E0,-3.694129884E-1,3.771390021E-1,1.224149942E0
1.167157635E0,-3.978910148E-1,1.276589930E-1,1.334054947E0
1.172088752E0,-3.516629934E-1,-5.823399872E-2,1.550873041E0
1.177019829E0,-3.146170080E-1,-2.263630033E-1,1.613404989E0
1.181951135E0,-2.593410015E-1,-3.673450053E-1,1.533491969E0
1.186882296E0,-1.544950008E-1,-5.237179995E-1,1.375854969E0
1.191813373E0,2.678599954E-2,-6.829929948E-1,1.150174975E0
1.196744678E0,2.259050012E-1,-7.873150110E-1,8.925330043E-1
1.201675771E0,4.198609889E-1,-8.336589932E-1,5.528209805E-1
1.206606923E0,5.600929856E-1,-8.831830025E-1,2.055449933E-1
1.211538231E0,6.201390028E-1,-9.087079763E-1,-7.960999757E-2
1.216469310E0,6.544899940E-1,-8.953710198E-1,-3.575350046E-1
1.221400462E0,7.019990087E-1,-8.189640045E-1,-6.113960147E-1
1.226331532E0,8.053240180E-1,-7.529439926E-1,-7.884600163E-1
1.231262837E0,9.282649755E-1,-6.987289786E-1,-8.934410214E-1
1.236193916E0,1.051233053E0,-6.156830192E-1,-9.287549853E-1
1.241125068E0,1.031548023E0,-4.847309887E-1,-1.004513979E0
1.246056376E0,9.583190084E-1,-3.796780109E-1,-1.029682994E0
1.250987455E0,8.579729795E-1,-2.290450037E-1,-9.971079826E-1
1.255918607E0,6.173650026E-1,-8.570300043E-2,-8.516700268E-1
1.260849914E0,3.848249912E-1,-2.336199954E-2,-6.579920053E-1
1.265781012E0,1.678230017E-1,-1.572600007E-2,-4.304429889E-1
1.270712164E0,-8.519899845E-2,-4.408600181E-2,-2.240680009E-1
1.275643243E0,-3.347400129E-1,-1.088469997E-1,1.624000072E-2
1.280574534E0,-5.182809830E-1,-1.560419947E-1,2.713269889E-1
1.285505613E0,-5.659409761E-1,-1.676349938E-1,4.453429878E-1
1.290436759E0,-5.966320038E-1,-2.205010056E-1,5.885509849E-1
1.295368067E0,-4.834119976E-1,-2.220750004E-1,6.003220081E-1
1.300299146E0,-2.994009852E-1,-2.321880013E-1,4.878239930E-1
1.305230313E0,-1.432249993E-1,-2.313310057E-1,2.654690146E-1
1.310161621E0,-1.309399959E-2,-2.329999954E-1,6.975200027E-2
1.315092776E0,2.979899943E-2,-2.219299972E-1,-1.111999974E-1
1.320023848E0,-5.601799861E-2,-2.045049965E-1,-3.107869923E-1
1.324954925E0,-1.080650017E-1,-2.203020006E-1,-4.763570130E-1
1.329886231E0,-1.738969982E-1,-1.638139933E-1,-6.390140057E-1
1.334817387E0,-2.057999969E-1,-1.036019996E-1,-8.682360053E-1
1.339748693E0,-2.091909945E-1,-9.583099931E-2,-1.032456040E0
1.344679541E0,-2.824020088E-1,-7.260899991E-2,-1.122187972E0
1.349610827E0,-3.551090062E-1,-5.012900010E-2,-1.171154976E0
1.354541983E0,-4.240599871E-1,-3.516000137E-2,-1.146057963E0
1.359473289E0,-4.446910024E-1,-3.734000027E-3,-1.262534976E0
1.364404343E0,-4.760339856E-1,8.717999794E-3,-1.415279984E0
1.369335495E0,-5.222309828E-1,9.703000076E-3,-1.503774047E0
1.374266574E0,-5.234180093E-1,-2.198600024E-2,-1.623868942E0
1.379197869E0,-4.513829947E-1,-1.948300004E-2,-1.691848040E0
1.384129025E0,-3.108510077E-1,-2.706200071E-2,-1.702499986E0
1.389060116E0,-6.309600174E-2,-8.159000427E-3,-1.685338974E0
1.393991422E0,2.103870064E-1,2.737499960E-2,-1.630777001E0
1.398922578E0,5.026130080E-1,9.803599864E-2,-1.505205035E0
1.403853655E0,7.431939840E-1,1.703640074E-1,-1.337211013E0
1.408784960E0,8.933519721E-1,2.561019957E-1,-1.241521001E0
1.413716116E0,9.574249983E-1,3.106850088E-1,-1.227612019E0
1.418647179E0,9.433310032E-1,3.515630066E-1,-1.156221032E0
1.423578485E0,8.709740043E-1,3.840340078E-1,-9.868909717E-1
1.428509641E0,7.720199823E-1,4.175739884E-1,-8.177210093E-1
1.433440718E0,4.953489900E-1,2.194589972E-1,-6.414980292E-1
1.438372023E0,2.510080040E-1,1.898800023E-2,-3.983019888E-1
1.443303112E0,3.035699949E-2,2.636000048E-3,-1.215040013E-1
1.448234264E0,-1.892549992E-1,-3.021999961E-3,1.338800043E-1
1.453165572E0,-3.610079885E-1,-2.773500048E-2,3.224039972E-1
1.458096651E0,-4.707869887E-1,8.306000382E-3,4.657079875E-1
1.463027803E0,-5.447270274E-1,1.326300018E-2,6.907380223E-1
1.467959105E0,-5.916659832E-1,5.019399896E-2,8.203920126E-1
1.472890184E0,-5.726730227E-1,1.034850031E-1,9.073690176E-1
1.477821336E0,-4.864540100E-1,1.414629966E-1,8.774660230E-1
1.482752400E0,-4.000180066E-1,2.065459937E-1,9.103040099E-1
1.487683706E0,-2.759020030E-1,2.550489902E-1,1.039422035E0
1.492614862E0,-1.568520069E-1,2.534030080E-1,1.149858952E0
1.497545934E0,-1.028830037E-1,2.752020061E-1,1.191308975E0
1.502477239E0,-8.855800331E-2,3.173699975E-1,1.225965977E0
1.507408400E0,-1.128680035E-1,3.345980048E-1,1.251363993E0
1.512339477E0,-1.328630000E-1,3.889699876E-1,1.360754967E0
1.517270783E0,-1.224810034E-1,4.018650055E-1,1.479756951E0
1.522201833E0,2.233400010E-2,3.572100103E-1,1.567430973E0
1.527132985E0,1.539369971E-1,3.292599916E-1,1.539844990E0
1.532064292E0,2.430280000E-1,3.153379858E-1,1.415927052E0
1.536995448E0,2.689700127E-1,2.902820110E-1,1.246170044E0
1.541926525E0,2.570939958E-1,2.599380016E-1,1.042642951E0
1.546857593E0,2.565799952E-1,2.133219987E-1,8.174160123E-1
1.551788899E0,2.496010065E-1,2.219849974E-1,6.184729934E-1
1.556720055E0,2.582989931E-1,1.727650017E-1,5.200790167E-1
1.561651365E0,2.051479965E-1,1.354620010E-1,5.271180272E-1
1.566582521E0,1.753090024E-1,1.126409993E-1,5.581150055E-1
1.571513598E0,2.127680033E-1,9.226500243E-2,4.765079916E-1
1.576444914E0,1.969439983E-1,6.742300093E-2,2.704150081E-1
1.581375993E0,1.439480036E-1,1.264000032E-2,6.963000167E-3
1.586307150E0,-1.233400032E-2,-1.695230007E-1,-1.557029933E-1
1.591238457E0,-2.422049940E-1,-4.829359949E-1,-2.964969873E-1
1.596169536E0,-3.642950058E-1,-6.432110071E-1,-2.741349936E-1
1.601100688E0,-3.387550116E-1,-6.016659737E-1,-2.802619934E-1
1.606031996E0,-2.490330040E-1,-6.432189941E-1,-4.660300016E-1
1.610963075E0,-1.608330011E-1,-6.158360243E-1,-4.054589868E-1
1.615894222E0,-1.445029974E-1,-5.158680081E-1,-4.313960075E-1
1.620825301E0,-3.622010052E-1,-5.395460129E-1,-5.842580199E-1
1.625756606E0,-6.791149974E-1,-4.357190132E-1,-5.930510163E-1
1.630687762E0,-9.485890269E-1,-3.199079931E-1,-6.371120214E-1
1.635619068E0,-9.539520144E-1,-1.879809946E-1,-5.538020134E-1
